,rotten_tomatoes_link,movie_title,year_of_release,year_of_streaming_release,tomatometer_status,audience_status,genre_list
17098,m/we_are_wizards,We are Wizards,2008,2012,Rotten,Spilled,"['Documentary', 'Special Interest']"
17099,m/we_are_x_2016,We Are X,2016,2017,Fresh,Upright,['Documentary']
17100,m/we_are_your_friends_2015,We Are Your Friends,2015,2016,Rotten,Spilled,['Drama']
17101,m/we_believe_in_dinosaurs,We Believe In Dinosaurs,2019,2019,Fresh,Upright,['Documentary']
17102,m/we_bought_a_zoo,We Bought a Zoo,2011,2015,Fresh,Upright,"['Comedy', 'Drama']"
17103,m/we_come_as_friends,We Come as Friends,2015,2017,Fresh,Upright,"['Documentary', 'Special Interest']"
17104,m/we_dont_live_here_anymore,We Don't Live Here Anymore,2004,2008,Fresh,Spilled,['Drama']
17105,m/we_go_on,We Go On,,2017,Fresh,Spilled,['Drama']
17106,m/we_have_a_pope,We Have a Pope,2012,2017,Fresh,Spilled,"['Comedy', 'Drama']"
17107,m/we_need_to_talk_about_kevin,We Need to Talk About Kevin,2012,2016,Certified-Fresh,Upright,"['Drama', 'Mystery & Suspense']"
17108,m/we_own_the_night,We Own the Night,2007,2012,Rotten,Upright,"['Action & Adventure', 'Drama']"
17109,m/we_steal_secrets_the_story_of_wikileaks_2013,We Steal Secrets: The Story Of Wikileaks,2013,2016,Certified-Fresh,Upright,"['Documentary', 'Special Interest']"
17110,m/we_summon_the_darkness,We Summon the Darkness,2020,2020,Fresh,Spilled,"['Horror', 'Mystery & Suspense']"
17111,m/we_the_animals,We the Animals,2018,2018,Certified-Fresh,Upright,['Drama']
17112,m/we_the_parents,We the Parents,2013,2017,Fresh,,"['Documentary', 'Drama', 'Special Interest']"
17113,m/we_the_party_2012,We the Party,2012,2016,Rotten,Upright,['Comedy']
17114,m/we_the_people_the_market_basket_effect,We The People: The Market Basket Effect,2016,2016,Fresh,Spilled,['Documentary']
17115,m/we_were_here_voices_from_the_aids_years_in_san_francisco,We Were Here,2011,2017,Certified-Fresh,Upright,['Documentary']
17116,m/we_were_soldiers,We Were Soldiers,2002,2014,Fresh,Upright,['Drama']
17117,m/weather_man,The Weather Man,2005,2013,Rotten,Spilled,"['Comedy', 'Drama']"
17118,m/web_junkie,Web Junkie,2014,2015,Fresh,Spilled,"['Documentary', 'Special Interest']"
17119,m/wedding_banquet,The Wedding Banquet (Xi yan),1993,2017,Fresh,Upright,"['Art House & International', 'Comedy', 'Drama', 'Romance', 'Gay & Lesbian']"
17120,m/wedding_crashers,Wedding Crashers,2005,2008,Certified-Fresh,Upright,"['Comedy', 'Romance']"
17121,m/wedding_date,The Wedding Date,2005,2015,Rotten,Upright,"['Comedy', 'Drama', 'Romance']"
17122,m/wedding_palace_2011,Wedding Palace,2013,2016,Rotten,Upright,"['Comedy', 'Kids & Family', 'Romance']"
17123,m/wedding_planner,The Wedding Planner,2001,2014,Rotten,Spilled,"['Comedy', 'Romance']"
17124,m/wedding_singer,The Wedding Singer,1998,2008,Fresh,Upright,"['Comedy', 'Drama', 'Romance']"
17125,m/weekend_2011,Weekend,2011,2016,Certified-Fresh,Upright,"['Action & Adventure', 'Drama']"
17126,m/weekend_at_bernies,Weekend at Bernie's,1989,2017,Rotten,Spilled,['Comedy']
17127,m/weekend_at_bernies_ii,Weekend at Bernie's II,1993,2015,Rotten,Spilled,['Comedy']
17128,m/weekend_of_a_champion_2013,Weekend Of A Champion,2013,2016,Fresh,Upright,"['Documentary', 'Drama', 'Sports & Fitness']"
17129,m/weight_of_water,The Weight of Water,2001,,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
17130,m/weiner,Weiner,2016,2016,Certified-Fresh,Upright,['Documentary']
17131,m/weirdsville,Weirdsville,2007,2016,Rotten,Upright,"['Comedy', 'Drama']"
17132,m/welcome-to-dongmakgol,Welcome to Dongmakgol,2005,2014,Fresh,Upright,"['Action & Adventure', 'Comedy', 'Drama']"
17133,m/welcome_home_2018,Welcome Home (The Getaway),2018,2018,Rotten,Spilled,['Mystery & Suspense']
17134,m/welcome_home_roscoe_jenkins,Welcome Home Roscoe Jenkins,2008,2015,Rotten,Upright,['Comedy']
17135,m/welcome_home_roxy_carmichael,Welcome Home Roxy Carmichael,1990,2018,Rotten,Spilled,"['Comedy', 'Drama']"
17136,m/welcome_to_collinwood,Welcome to Collinwood,2002,2009,Rotten,Spilled,"['Comedy', 'Drama']"
17137,m/welcome_to_curiosity,Welcome To Curiosity,2018,2018,Rotten,Spilled,['Mystery & Suspense']
17138,m/welcome_to_happiness,Welcome To Happiness,2016,2016,Rotten,Spilled,"['Comedy', 'Drama', 'Science Fiction & Fantasy']"
17139,m/welcome_to_marwen,Welcome to Marwen,2018,2019,Rotten,Spilled,['Drama']
17140,m/welcome_to_me,Welcome to Me,2015,2016,Fresh,Spilled,"['Comedy', 'Drama']"
17141,m/welcome_to_mercy,Welcome to Mercy,2018,2018,Fresh,Spilled,['Mystery & Suspense']
17142,m/welcome_to_mooseport,Welcome to Mooseport,2004,2015,Rotten,Spilled,['Comedy']
17143,m/welcome_to_new_york_2015,Welcome To New York,2015,2016,Certified-Fresh,Spilled,['Drama']
17144,m/welcome_to_sarajevo,Welcome to Sarajevo,1997,2016,Fresh,Upright,"['Drama', 'Television']"
17145,m/welcome_to_the_dollhouse,Welcome to the Dollhouse,1995,2017,Certified-Fresh,Upright,"['Comedy', 'Drama']"
17146,m/welcome_to_the_jungle_2013,Welcome to the Jungle,2014,2014,Rotten,Spilled,"['Action & Adventure', 'Comedy']"
17147,m/welcome_to_the_punch,Welcome to the Punch,2013,2017,Rotten,Spilled,"['Action & Adventure', 'Art House & International', 'Mystery & Suspense']"
17148,m/welcome_to_the_rileys,Welcome to the Rileys,2010,2014,Rotten,Spilled,['Drama']
17149,m/welcome_to_the_sticks,Welcome to the Sticks,2008,2016,Fresh,Upright,['Comedy']
17150,m/welcome_to_woop_woop,Welcome to Woop Woop,1998,2016,Rotten,Upright,['Comedy']
17151,m/well_never_have_paris_2014,We'll Never Have Paris,2015,2016,Rotten,Spilled,"['Comedy', 'Romance']"
17152,m/wendigo,Wendigo,2002,2017,Fresh,Spilled,"['Action & Adventure', 'Drama', 'Horror']"
17153,m/wendy_and_lucy,Wendy and Lucy,2008,2017,Certified-Fresh,Upright,['Drama']
17154,m/went_the_day_well,Went the Day Well?,1942,2020,Fresh,Upright,"['Classics', 'Drama']"
17155,m/went_to_coney_island_on_a_mission_from_godbe_back_by_five_1998,Went to Coney Island on a Mission From God...Be Back by Five,,2019,Rotten,Spilled,"['Comedy', 'Drama']"
17156,m/were_back_a_dinosaurs_story,We're Back! A Dinosaur's Story,1993,2014,Rotten,Spilled,"['Animation', 'Comedy', 'Kids & Family']"
17157,m/were_the_millers,We're The Millers,2013,2015,Rotten,Upright,['Comedy']
17158,m/were_the_world_mine,Were the World Mine,2008,2017,Fresh,Upright,"['Action & Adventure', 'Comedy', 'Drama', 'Musical & Performing Arts', 'Romance', 'Gay & Lesbian']"
17159,m/werewolf_of_london,Werewolf of London,1935,2016,Fresh,Spilled,"['Classics', 'Drama', 'Horror', 'Science Fiction & Fantasy']"
17160,m/werewolf_the_beast_among_us,Werewolf: The Beast Among Us,,2014,Rotten,Spilled,"['Horror', 'Special Interest']"
17161,m/wes_craven_presents_carnival_of_souls,Wes Craven Presents: Carnival of Souls,1998,2016,Rotten,Spilled,"['Horror', 'Mystery & Suspense']"
17162,m/wes_craven_presents_dracula_iii_legacy_2004,Wes Craven Presents Dracula III: Legacy,2004,2016,Rotten,Spilled,['Horror']
17163,m/wes_cravens_new_nightmare,Wes Craven's New Nightmare,1994,2008,Certified-Fresh,Upright,"['Horror', 'Mystery & Suspense']"
17164,m/west_of_memphis,West of Memphis,2012,2013,Certified-Fresh,Upright,['Documentary']
17165,m/west_side_story,West Side Story,1961,2015,Certified-Fresh,Upright,"['Drama', 'Musical & Performing Arts', 'Romance']"
17166,m/western_2018,Western,2018,2018,Certified-Fresh,Upright,"['Art House & International', 'Drama']"
17167,m/westfront_1918_1930,Westfront 1918,1930,2018,Fresh,Upright,"['Art House & International', 'Drama', 'Romance']"
17168,m/westworld,Westworld,1973,2015,Fresh,Upright,"['Action & Adventure', 'Classics', 'Science Fiction & Fantasy', 'Western']"
17169,m/wet_hot_american_summer,Wet Hot American Summer,2001,2014,Rotten,Upright,['Comedy']
17170,m/wetlands_2017,Wetlands,2017,2018,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
17171,m/wetlands_preserved_the_story_of_an_activist_rock_club_2005,Wetlands Preserved: The Story of an Activist Rock Club,,2016,Fresh,Upright,"['Documentary', 'Musical & Performing Arts', 'Special Interest']"
17172,m/whale_rider,Whale Rider,2003,2016,Certified-Fresh,Upright,"['Drama', 'Romance']"
17173,m/whaledreamers,Whaledreamers,2008,2015,Rotten,Spilled,"['Documentary', 'Special Interest']"
17174,m/whales_of_august,The Whales of August,1987,2017,Fresh,Upright,['Drama']
17175,m/what_a_girl_wants,What a Girl Wants,2003,2011,Rotten,Upright,"['Comedy', 'Drama', 'Romance']"
17176,m/what_a_way_to_go,What a Way to Go!,1964,2015,Rotten,Upright,"['Classics', 'Comedy']"
17177,m/what_about_bob,What About Bob?,1991,2016,Certified-Fresh,Upright,"['Comedy', 'Drama']"
17178,m/what_alice_found,What Alice Found,2003,2017,Fresh,Spilled,['Drama']
17179,m/what_boys_like,What Boys Like,2004,2004,Rotten,Spilled,"['Comedy', 'Television']"
17180,m/what_did_you_do_in_the_war_daddy,"What Did You Do in the War, Daddy?",1966,2017,Rotten,Upright,"['Classics', 'Comedy', 'Drama']"
17181,m/what_doesnt_kill_you,What Doesn't Kill You,2008,2018,Fresh,Spilled,['Drama']
17182,m/what_dreams_may_come,What Dreams May Come,1998,2015,Rotten,Upright,"['Drama', 'Science Fiction & Fantasy', 'Romance']"
17183,m/what_ever_happened_to_baby_jane,What Ever Happened to Baby Jane?,1962,2016,Certified-Fresh,Upright,"['Classics', 'Cult Movies', 'Drama', 'Horror', 'Mystery & Suspense']"
17184,m/what_happened_miss_simone_2015,"What Happened, Miss Simone?",2015,2016,Certified-Fresh,Upright,['Documentary']
17185,m/what_happened_to_monday,What Happened to Monday,2017,2019,Rotten,Upright,"['Action & Adventure', 'Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
17186,m/what_happened_was,What Happened Was...,1994,2017,Fresh,Upright,"['Art House & International', 'Comedy', 'Drama', 'Mystery & Suspense', 'Romance']"
17187,m/what_have_i_done_to_deserve_this,What Have I Done to Deserve This? (Qu he hecho yo para merecer esto!!),1984,2016,Fresh,Upright,"['Art House & International', 'Comedy', 'Drama']"
17188,m/what_if_2010,What If...,2010,2017,Rotten,Upright,"['Drama', 'Special Interest']"
17189,m/what_if_2014,What If,2014,2016,Fresh,Upright,['Comedy']
17190,m/what_just_happened,What Just Happened?,2008,2016,Rotten,Spilled,"['Comedy', 'Drama']"
17191,m/what_keeps_you_alive,What Keeps You Alive,2018,2018,Certified-Fresh,Spilled,['Mystery & Suspense']
17192,m/what_lies_beneath,What Lies Beneath,2000,2014,Rotten,Spilled,"['Drama', 'Horror', 'Mystery & Suspense']"
17193,m/what_lies_upstream,What Lies Upstream,2018,2018,Fresh,Upright,"['Documentary', 'Mystery & Suspense']"
17194,m/what_maisie_knew_2012,What Maisie Knew,2013,2017,Certified-Fresh,Upright,['Drama']
17195,m/what_men_want_2019,What Men Want,2019,2019,Rotten,Spilled,['Comedy']
17196,m/what_our_fathers_did_a_nazi_legacy,What Our Fathers Did: A Nazi Legacy,2015,2017,Fresh,Upright,['Documentary']
17197,m/what_richard_did,What Richard Did,2013,2017,Certified-Fresh,Upright,['Drama']
17198,m/what_she_said_the_art_of_pauline_kael,What She Said: The Art of Pauline Kael,2019,2020,Certified-Fresh,Spilled,['Documentary']
17199,m/what_still_remains,What Still Remains,,2018,Fresh,Spilled,['Drama']
17200,m/what_the__do_we_know,What the Bleep Do We Know!?,2004,2017,Rotten,Upright,"['Documentary', 'Drama', 'Science Fiction & Fantasy', 'Faith & Spirituality']"
17201,m/what_they_had,What They Had,2018,2019,Certified-Fresh,Upright,['Drama']
17202,m/what_to_expect_when_youre_expecting,What to Expect When You're Expecting,2012,2015,Rotten,Spilled,"['Comedy', 'Drama', 'Romance']"
17203,m/what_we_did_on_our_holiday,What We Did on Our Holiday,2015,2016,Fresh,Upright,['Comedy']
17204,m/what_we_do_in_the_shadows,What We Do In The Shadows,2015,2016,Certified-Fresh,Upright,"['Comedy', 'Drama']"
17205,m/what_we_do_is_secret,What We Do Is Secret,2007,2016,Rotten,Spilled,['Drama']
17206,m/what_we_found,What We Found,,,,,['Mystery & Suspense']
17207,m/what_women_want,What Women Want,2001,2013,Rotten,Spilled,['Comedy']
17208,m/what_you_gonna_do_when_the_worlds_on_fire,What You Gonna Do When the World's on Fire?,2019,2020,Certified-Fresh,Spilled,['Documentary']
17209,m/whatever_works,Whatever Works,2009,2012,Rotten,Upright,"['Comedy', 'Romance']"
17210,m/whats_cooking,What's Cooking?,2000,2016,Rotten,Upright,"['Comedy', 'Drama']"
17211,m/whats_eating_gilbert_grape,What's Eating Gilbert Grape,1993,2013,Certified-Fresh,Upright,['Drama']
17212,m/whats_in_a_name_2013,What's In A Name?,2013,2016,Fresh,Upright,['Comedy']
17213,m/whats_love_got_to_do_with_it,What's Love Got To Do With It?,1993,2015,Certified-Fresh,Upright,"['Drama', 'Musical & Performing Arts']"
17214,m/whats_new_pussycat,"What's New, Pussycat?",1965,2016,Rotten,Spilled,"['Art House & International', 'Classics', 'Comedy']"
17215,m/whats_the_matter_with_kansas,What's the Matter with Kansas?,2009,2016,Fresh,Spilled,"['Documentary', 'Special Interest']"
17216,m/whats_the_worst_that_could_happen,What's the Worst That Could Happen?,2001,2016,Rotten,Spilled,"['Comedy', 'Drama']"
17217,m/whats_up_doc,"What's Up, Doc?",1972,2015,Certified-Fresh,Upright,"['Classics', 'Comedy', 'Romance']"
17218,m/whats_your_number,What's Your Number?,2011,2015,Rotten,Spilled,['Comedy']
17219,m/wheelman,Wheelman,2017,2017,Fresh,Upright,"['Action & Adventure', 'Mystery & Suspense']"
17220,m/when_a_man_loves_a_woman,When a Man Loves a Woman,1994,2016,Fresh,Upright,"['Comedy', 'Drama', 'Romance']"
17221,m/when_a_stranger_calls,When a Stranger Calls,2006,2012,Rotten,Spilled,"['Horror', 'Mystery & Suspense']"
17222,m/when_a_stranger_calls_back,When a Stranger Calls Back,1993,2018,Rotten,Spilled,"['Drama', 'Horror', 'Mystery & Suspense', 'Television']"
17223,m/when_comedy_went_to_school,When Comedy Went to School,2013,2017,Rotten,Spilled,"['Documentary', 'Special Interest']"
17224,m/when_did_you_last_see_your_father,When Did You Last See Your Father?,2008,2015,Certified-Fresh,Upright,['Drama']
17225,m/when_harry_met_sally,When Harry Met Sally,1989,2016,Certified-Fresh,Upright,"['Comedy', 'Drama', 'Romance']"
17226,m/when_harry_tries_to_marry,When Harry Tries to Marry,2011,2017,Rotten,Spilled,"['Comedy', 'Romance']"
17227,m/when_i_saw_you,When I Saw You,,2016,Fresh,Upright,['Drama']
17228,m/when_i_walk_2013,When I Walk,2013,2017,Fresh,Upright,"['Documentary', 'Special Interest']"
17229,m/when_in_rome,When in Rome,2010,2016,Rotten,Spilled,"['Comedy', 'Drama', 'Romance']"
17230,m/when_jews_were_funny,When Jews Were Funny,,2016,Fresh,Spilled,"['Comedy', 'Documentary', 'Special Interest']"
17231,m/when_marnie_was_there,When Marnie Was There,2015,2019,Certified-Fresh,Upright,"['Animation', 'Drama']"
17232,m/when_night_is_falling,When Night Is Falling,1995,2017,Rotten,Upright,"['Drama', 'Romance', 'Gay & Lesbian']"
17233,m/when_the_bough_breaks_2016,When the Bough Breaks,2016,2016,Rotten,Spilled,"['Drama', 'Horror']"
17234,m/when_the_dragon_swallowed_the_sun,When the Dragon Swallowed the Sun,2012,2016,Fresh,Upright,"['Documentary', 'Special Interest']"
17235,m/when_the_game_stands_tall,When The Game Stands Tall,2014,2016,Rotten,Upright,['Drama']
17236,m/when_the_levees_broke,When the Levees Broke: A Requiem in Four Acts,2006,2006,Fresh,Upright,"['Documentary', 'Special Interest', 'Television']"
17237,m/when_time_ran_out,When Time Ran Out,1980,2017,Rotten,Spilled,['Action & Adventure']
17238,m/when_we_first_met,When We First Met,2018,2018,Rotten,Spilled,"['Comedy', 'Romance']"
17239,m/when_will_i_be_loved,When Will I Be Loved,2004,2017,Rotten,Spilled,['Drama']
17240,m/when_worlds_collide,When Worlds Collide,1951,2016,Fresh,Upright,"['Classics', 'Science Fiction & Fantasy']"
17241,m/when_youre_strange,When You're Strange,2010,2017,Fresh,,"['Documentary', 'Musical & Performing Arts', 'Special Interest']"
17242,m/where_angels_fear_to_tread,Where Angels Fear to Tread,1994,2018,Fresh,Spilled,"['Drama', 'Special Interest', 'Sports & Fitness']"
17243,m/where_do_we_go_now,Where Do We Go Now?,2012,2013,Rotten,Upright,"['Art House & International', 'Comedy', 'Drama']"
17244,m/where_eagles_dare,Where Eagles Dare,1969,2015,Fresh,Upright,"['Action & Adventure', 'Art House & International', 'Classics', 'Drama']"
17245,m/where_god_left_his_shoes,Where God Left His Shoes,2007,2020,Fresh,Upright,['Drama']
17246,m/where_hands_touch,Where Hands Touch,2018,2019,Rotten,Upright,"['Drama', 'Romance']"
17247,m/where_hope_grows,Where Hope Grows,2015,2016,Rotten,Upright,"['Drama', 'Faith & Spirituality']"
17248,m/where_in_the_world_is_osama_bin_laden,Where in the World Is Osama Bin Laden?,2008,2016,Rotten,Spilled,"['Documentary', 'Special Interest']"
17249,m/where_is_kyra,Where Is Kyra?,2018,2018,Certified-Fresh,Spilled,['Drama']
17250,m/where_the_buffalo_roam,Where the Buffalo Roam,1980,2016,Rotten,Upright,['Comedy']
17251,m/where_the_day_takes_you,Where the Day Takes You,1992,2014,Fresh,Upright,['Drama']
17252,m/where_the_green_ants_dream,Where the Green Ants Dream (Wo die Grünen Ameisen Träumen),1985,2017,Fresh,Upright,"['Art House & International', 'Drama']"
17253,m/where_the_money_is,Where the Money Is,2000,2020,Rotten,Spilled,"['Comedy', 'Drama', 'Mystery & Suspense']"
17254,m/where_the_sidewalk_ends,Where the Sidewalk Ends,1950,2017,Fresh,Upright,"['Classics', 'Drama', 'Mystery & Suspense']"
17255,m/where_the_truth_lies,Where the Truth Lies,2005,2012,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
17256,m/where_the_wild_things_are,Where the Wild Things Are,2009,2011,Fresh,Spilled,"['Action & Adventure', 'Animation', 'Comedy', 'Drama', 'Kids & Family', 'Science Fiction & Fantasy']"
17257,m/where_to_invade_next,Where to Invade Next,2016,2017,Certified-Fresh,Upright,['Documentary']
17258,m/whered_you_go_bernadette,"Where'd You Go, Bernadette",2019,2019,Rotten,,"['Comedy', 'Drama']"
17259,m/wheres_daddy,Where's Daddy?,,,Fresh,,['Documentary']
17260,m/wheres_marlowe,Where's Marlowe?,1999,2012,Rotten,Spilled,"['Comedy', 'Drama', 'Mystery & Suspense']"
17261,m/wheres_my_roy_cohn,Where's My Roy Cohn?,2019,2019,Certified-Fresh,Upright,['Documentary']
17262,m/which_way_home_2009,Which Way Home,2009,2015,Fresh,Upright,"['Documentary', 'Special Interest']"
17263,m/which_way_is_the_front_line_from_here_the_life_and_times_of_tim_hetherington,Which Way Is the Front Line from Here? The Life and Times of Tim Hetherington,2013,2016,Fresh,Upright,"['Documentary', 'Special Interest']"
17264,m/which_way_is_up,Which Way Is Up?,1977,2014,Rotten,Upright,['Comedy']
17265,m/while_she_was_out,While She Was Out,2008,2017,Rotten,Spilled,"['Action & Adventure', 'Horror', 'Mystery & Suspense']"
17266,m/while_were_young,While We're Young,2015,2016,Certified-Fresh,Spilled,"['Comedy', 'Drama']"
17267,m/while_you_were_sleeping,While You Were Sleeping,1995,2016,Certified-Fresh,Upright,"['Comedy', 'Drama', 'Romance']"
17268,m/whip_it,Whip It,2009,2015,Certified-Fresh,Upright,"['Comedy', 'Drama']"
17269,m/whiplash_2014,Whiplash,2014,2016,Certified-Fresh,Upright,['Drama']
17270,m/whipped,Whipped,1999,2011,Rotten,Spilled,['Comedy']
17271,m/whirlpool,Whirlpool,1949,2016,Fresh,Upright,"['Art House & International', 'Classics', 'Drama', 'Mystery & Suspense']"
17272,m/whiskey_tango_foxtrot,Whiskey Tango Foxtrot,2016,2016,Fresh,Spilled,"['Comedy', 'Drama']"
17273,m/whisky,Whisky,2004,2016,Fresh,Upright,"['Art House & International', 'Comedy']"
17274,m/whisky_galore_2017,Whisky Galore,2017,2017,Rotten,Spilled,"['Art House & International', 'Comedy', 'Romance']"
17275,m/whisper-of-the-heart,Whisper of the Heart (Mimi wo sumaseba) (If You Listen Closely),2006,,Fresh,Upright,"['Animation', 'Art House & International', 'Drama']"
17276,m/whispering_smith,Whispering Smith,1948,2017,Fresh,Upright,"['Action & Adventure', 'Classics', 'Western']"
17277,m/whispers_in_the_dark,Whispers in the Dark,1992,2017,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
17278,m/white-nights,White Nights,1985,2016,Rotten,Upright,"['Documentary', 'Drama', 'Mystery & Suspense', 'Special Interest']"
17279,m/white-wedding,White Wedding,2010,2016,Rotten,Spilled,"['Art House & International', 'Comedy', 'Romance']"
17280,m/white_bird_in_a_blizzard,White Bird in a Blizzard,2014,2016,Rotten,Spilled,"['Comedy', 'Drama', 'Mystery & Suspense']"
17281,m/white_boy_rick,White Boy Rick,2018,2018,Rotten,Spilled,['Drama']
17282,m/white_chamber,White Chamber,2019,2019,Rotten,Spilled,"['Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
17283,m/white_chicks,White Chicks,2004,2012,Rotten,Spilled,['Comedy']
17284,m/white_countess,The White Countess,2005,2012,Rotten,Spilled,"['Art House & International', 'Drama', 'Romance']"
17285,m/white_dog,White Dog,1982,2017,Fresh,Upright,['Drama']
17286,m/white_fang_2018,White Fang (Croc-Blanc),,2018,Fresh,Upright,"['Action & Adventure', 'Animation']"
17287,m/white_fang_2_myth_of_the_white_wolf,White Fang 2: Myth of the White Wolf,1994,2016,Fresh,Spilled,"['Action & Adventure', 'Kids & Family']"
17288,m/white_god,White God,2015,2016,Certified-Fresh,Upright,"['Art House & International', 'Drama']"
17289,m/white_heat,White Heat,1949,2009,Fresh,Upright,"['Action & Adventure', 'Classics', 'Drama', 'Mystery & Suspense']"
17290,m/white_house_down,White House Down,2013,2015,Rotten,Upright,"['Action & Adventure', 'Drama']"
17291,m/white_hunter_black_heart,White Hunter Black Heart,1990,2009,Fresh,Upright,"['Action & Adventure', 'Drama']"
17292,m/white_irish_drinkers,White Irish Drinkers,2011,2016,Rotten,Upright,['Drama']
17293,m/white_light_black_rain,White Light/Black Rain: The Destruction of Hiroshima and Nagasaki,2007,2016,Fresh,Upright,"['Documentary', 'Special Interest']"
17294,m/white_lightnin,White Lightnin',2009,2017,Fresh,Upright,['Drama']
17295,m/white_lightning,White Lightning,1973,2016,Fresh,Upright,"['Action & Adventure', 'Classics', 'Drama']"
17296,m/white_material,White Material,2010,2017,Certified-Fresh,Upright,"['Art House & International', 'Drama']"
17297,m/white_men_cant_jump,White Men Can't Jump,1992,2015,Certified-Fresh,Upright,"['Comedy', 'Drama']"
17298,m/white_noise,White Noise,2005,2016,Rotten,Spilled,"['Drama', 'Horror', 'Mystery & Suspense']"
17299,m/white_noise_2,White Noise 2,2007,2016,Fresh,Spilled,"['Horror', 'Mystery & Suspense']"
17300,m/white_oleander,White Oleander,2002,2010,Fresh,Upright,['Drama']
17301,m/white_rabbit,White Rabbit,2015,2016,Rotten,Upright,"['Drama', 'Mystery & Suspense']"
17302,m/white_rabbit_2018,White Rabbit,2018,2018,Fresh,Upright,"['Comedy', 'Drama']"
17303,m/white_ribbon,The White Ribbon (Das weisse Band),2009,2012,Certified-Fresh,Upright,"['Art House & International', 'Drama']"
17304,m/white_sands,White Sands,1992,2019,Rotten,Spilled,"['Action & Adventure', 'Drama', 'Mystery & Suspense']"
17305,m/white_squall,White Squall,1996,2016,Rotten,Upright,"['Action & Adventure', 'Drama']"
17306,m/white_stripes_under_great_white_northern_lights,The White Stripes Under Great White Northern Lights,2010,2016,Fresh,Upright,"['Documentary', 'Musical & Performing Arts', 'Special Interest']"
17307,m/white_water_summer,White Water Summer,1987,2012,Rotten,Spilled,"['Action & Adventure', 'Drama']"
17308,m/white_zombie,White Zombie,1932,2015,Fresh,Spilled,"['Classics', 'Horror']"
17309,m/whiteboyz,Whiteboyz,1999,2012,Rotten,Spilled,"['Comedy', 'Drama']"
17310,m/whitewash_2014,Whitewash,2014,2017,Fresh,Spilled,['Drama']
17311,m/whitey_united_states_of_america_v_james_j_bulger,Whitey: United States of America v. James J. Bulger,2014,2016,Certified-Fresh,Upright,"['Documentary', 'Special Interest']"
17312,m/whitney_2018,Whitney,2018,2018,Certified-Fresh,Upright,['Documentary']
17313,m/who-killed-nancy,Who Killed Nancy?,2010,2016,Rotten,Spilled,"['Documentary', 'Special Interest']"
17314,m/who_am_i,Jackie Chan's Who Am I? (Wo shi shei) (Who Am I?),1998,1999,Fresh,Upright,"['Action & Adventure', 'Art House & International', 'Comedy']"
17315,m/who_framed_roger_rabbit,Who Framed Roger Rabbit,1988,2015,Certified-Fresh,Upright,"['Action & Adventure', 'Animation', 'Comedy', 'Kids & Family', 'Mystery & Suspense']"
17316,m/who_is_dayani_cristal_2013,Who Is Dayani Cristal?,2014,2017,Fresh,Upright,"['Documentary', 'Special Interest']"
17317,m/who_is_harry_nilsson,Who is Harry Nilsson (And Why is Everybody Talkin' About Him)?,2010,2016,Fresh,Upright,"['Documentary', 'Musical & Performing Arts']"
17318,m/who_is_kk_downey,Who is KK Downey?,2008,2017,Fresh,Spilled,"['Comedy', 'Drama']"
17319,m/who_killed_cock_robin_2017,Who Killed Cock Robin,,2019,Rotten,Upright,['Mystery & Suspense']
17320,m/who_killed_the_electric_car,Who Killed the Electric Car?,2006,2012,Certified-Fresh,Upright,"['Documentary', 'Musical & Performing Arts']"
17321,m/who_needs_enemies,Who Needs Enemies,,2017,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
17322,m/who_the_and_is_jackson_pollock,Who the #$&% Is Jackson Pollock?,2006,2012,Fresh,Upright,"['Documentary', 'Musical & Performing Arts', 'Special Interest']"
17323,m/who_would_you_take_to_a_deserted_island,Who Would You Take to a Deserted Island? (A quién te llevarías a una isla desierta?),,,Fresh,,['Drama']
17324,m/whole_nine_yards,The Whole Nine Yards,2000,2017,Rotten,Upright,['Comedy']
17325,m/whole_ten_yards,The Whole Ten Yards,2003,2011,Rotten,Spilled,"['Action & Adventure', 'Comedy', 'Drama', 'Mystery & Suspense']"
17326,m/whole_wide_world,The Whole Wide World,1996,2018,Fresh,Upright,"['Drama', 'Special Interest', 'Romance']"
17327,m/wholl_stop_the_rain,Who'll Stop the Rain,1978,2017,Fresh,Upright,"['Action & Adventure', 'Drama', 'Mystery & Suspense']"
17328,m/wholly_moses,Wholly Moses!,1980,2012,Rotten,Spilled,['Comedy']
17329,m/whores_glory_2011,Whores' Glory,2012,2017,Fresh,Upright,"['Documentary', 'Special Interest']"
17330,m/whos_afraid_of_virginia_woolf,Who's Afraid of Virginia Woolf?,1966,2008,Certified-Fresh,Upright,"['Classics', 'Drama']"
17331,m/whos_camus_anyway,Who's Camus Anyway?,,2017,Fresh,Upright,"['Art House & International', 'Drama', 'Special Interest', 'Television']"
17332,m/whos_driving_doug,Who's Driving Doug,,2017,Rotten,Spilled,['Drama']
17333,m/whos_harry_crumb,Who's Harry Crumb?,1989,2012,Rotten,Spilled,"['Comedy', 'Mystery & Suspense']"
