,rotten_tomatoes_link,movie_title,year_of_release,year_of_streaming_release,tomatometer_status,audience_status,genre_list
164,m/10009460-the_road,The Road,2009,2012,Certified-Fresh,Upright,"['Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
165,m/10009462-g_force,G-Force,2009,2016,Rotten,Spilled,"['Action & Adventure', 'Comedy', 'Kids & Family', 'Science Fiction & Fantasy']"
166,m/10009469-the_other_man,The Other Man,2008,2017,Rotten,Spilled,['Drama']
167,m/10009493-duchess,The Duchess,2008,2017,Fresh,Upright,['Drama']
168,m/10009516-women,The Women,2008,2010,Rotten,Spilled,"['Comedy', 'Drama']"
169,m/10009526-public_enemies,Public Enemies,2009,2015,Fresh,Spilled,"['Action & Adventure', 'Drama']"
170,m/10009547-night_and_day,Night and Day (Bam gua nat),2009,,Fresh,Upright,"['Art House & International', 'Drama']"
171,m/10009552-julia,Julia,2009,2013,Certified-Fresh,Upright,"['Art House & International', 'Drama', 'Mystery & Suspense']"
172,m/1000957-angel_and_the_badman,Angel and the Badman,1947,2016,Fresh,Upright,"['Classics', 'Western', 'Romance']"
173,m/10009583-fade_to_black,Fade to Black,2006,2017,Rotten,Spilled,['Mystery & Suspense']
174,m/1000959-angel_heart,Angel Heart,1987,2016,Fresh,Upright,"['Drama', 'Mystery & Suspense']"
175,m/10009596-old_dogs,Old Dogs,2009,2016,Rotten,Spilled,"['Comedy', 'Drama', 'Kids & Family']"
176,m/10009598-surrogates,Surrogates,2009,2016,Rotten,Spilled,"['Action & Adventure', 'Comedy', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
177,m/10009624-promotion,The Promotion,2008,2016,Rotten,Spilled,['Comedy']
178,m/10009632-notorious,Notorious,2009,2015,Rotten,Upright,"['Drama', 'Musical & Performing Arts']"
179,m/10009635-soul_men,Soul Men,2008,2017,Rotten,Spilled,"['Comedy', 'Musical & Performing Arts']"
180,m/10009636-igor,Igor,2008,2017,Rotten,Spilled,"['Animation', 'Comedy', 'Kids & Family']"
181,m/10009680-matador,The Matador,2008,2017,Fresh,Upright,"['Documentary', 'Special Interest']"
182,m/10009791-auteur,The Auteur,2008,2016,Fresh,Spilled,['Comedy']
183,m/10009799-caller,The Caller,2008,2009,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
184,m/10009823-sin_nombre,Sin Nombre,2009,2016,Certified-Fresh,Upright,"['Drama', 'Mystery & Suspense']"
185,m/10009828-house_of_sleeping_beauties,Das Haus der Schlafenden Schönen (House of the Sleeping Beauties),2008,2009,Rotten,Spilled,"['Art House & International', 'Drama']"
186,m/10009890-stone_angel,The Stone Angel,2007,2008,Rotten,Spilled,['Drama']
187,m/10009926-alvin_and_the_chipmunks_2,Alvin and the Chipmunks: The Squeakquel,2009,2015,Rotten,Spilled,"['Animation', 'Comedy', 'Kids & Family']"
188,m/10009929-a_christmas_tale,Un Conte de Noël (A Christmas Tale),2008,2016,Certified-Fresh,Upright,"['Art House & International', 'Comedy', 'Drama']"
189,m/10009980-rebound,The Rebound,2009,2013,Rotten,Spilled,"['Comedy', 'Romance']"
190,m/10009992-ripple_effect,Ripple Effect,2008,2015,Rotten,,['Drama']
191,m/1000_times_good_night,"1,000 Times Good Night",2014,2016,Fresh,Upright,['Drama']
192,m/10010011-harold,Harold,2008,2017,Rotten,Spilled,['Comedy']
193,m/10010066-push,Push,2009,2015,Rotten,Spilled,"['Mystery & Suspense', 'Science Fiction & Fantasy']"
194,m/10010077-felon,Felon,2008,2013,Fresh,Upright,"['Action & Adventure', 'Drama', 'Mystery & Suspense']"
195,m/10010131-scar,Scar,2007,2016,Rotten,Spilled,"['Drama', 'Horror', 'Mystery & Suspense']"
196,m/10010150-unborn,The Unborn,2009,2015,Rotten,Spilled,"['Horror', 'Mystery & Suspense']"
197,m/10010153-bitch_slap,Bitch Slap,2010,2014,Rotten,Spilled,['Action & Adventure']
198,m/10010155-forever_strong,Forever Strong,2008,2016,Rotten,Upright,['Drama']
199,m/10010208-chocolate,Chocolate,2008,2017,Fresh,Upright,"['Action & Adventure', 'Art House & International']"
200,m/10010214-fireproof,Fireproof,2008,2012,Rotten,Upright,['Drama']
201,m/10010229-dostana,Dostana,2008,2017,Fresh,Upright,"['Art House & International', 'Comedy']"
202,m/10010249-the_garden,The Garden,2008,2017,Fresh,Upright,"['Documentary', 'Special Interest']"
203,m/10010329-splinter,Splinter,2008,2015,Fresh,Spilled,"['Horror', 'Mystery & Suspense']"
204,m/10010334-leaves_of_grass,Leaves of Grass,2010,2017,Fresh,Spilled,"['Comedy', 'Drama', 'Mystery & Suspense']"
205,m/10010335-rab_ne_bana_di_jodi,Rab Ne Bana Di Jodi (A Couple Made by God) (A Match Made in Heaven),2008,,Fresh,Upright,['Romance']
